Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime,Industry
KONGSBERG GRUPPEN,NO0013536151,KOG,Oslo Børs,NOK,"367,,10","377,,85","364,,70","377,,65",26/06/2025 16:29,CET,1176036.0,"440676856,,45","377,,65",26/06/2025,"['Aerospace', 'Defence']"
KRAFT BANK,NO0010815103,KRAB,Euronext Growth Oslo,NOK,"9,,90","10,,10","9,,90","9,,95",26/06/2025 16:18,CET,60050.0,"600751,,90","9,,95",26/06/2025,
LERØY SEAFOOD GP,NO0003096208,LSG,Oslo Børs,NOK,"47,,00","47,,16","46,,68","46,,80",26/06/2025 16:25,CET,266477.0,"12479229,,48","46,,80",26/06/2025,"['Packaged Foods', 'Meats']"
LIFECARE,NO0013355859,LIFE,Oslo Børs,NOK,"5,,52","5,,76","5,,44","5,,72",26/06/2025 16:25,CET,195257.0,"1089283,,52","5,,72",26/06/2025,
LINK MOBILITY GRP,NO0010894231,LINK,Oslo Børs,NOK,"28,,00","28,,65","27,,70","28,,50",26/06/2025 16:25,CET,1254580.0,"35673551,,60","28,,50",26/06/2025,
LOKOTECH GROUP,NO0010921299,LOKO,Euronext Growth Oslo,NOK,"0,,50","0,,668","0,,496","0,,62",26/06/2025 16:25,CET,16858543.0,"9788093,,54","0,,62",26/06/2025,
LOKOTECH GROUP TR,NO0013554253,LOKOS,Euronext Growth Oslo,NOK,"0,,1705","0,,25","0,,1705","0,,182",26/06/2025 16:25,CET,7874824.0,"1791879,,50","0,,182",26/06/2025,
LUMI GRUPPEN,NO0010927288,LUMI,Euronext Growth Oslo,NOK,"14,,40","14,,40","14,,40","14,,40",26/06/2025 10:51,CET,1940.0,"27936,,00","14,,40",26/06/2025,
LYTIX BIOPHARMA,NO0010405780,LYTIX,Euronext Growth Oslo,NOK,"9,,22","9,,26","8,,72","9,,00",26/06/2025 16:25,CET,72125.0,"649305,,02","9,,00",26/06/2025,
M VEST WATER,NO0010976343,MVW,Euronext Growth Oslo,NOK,"9,,70","9,,70","9,,68","9,,68",26/06/2025 14:56,CET,1500.0,"14538,,00","9,,68",26/06/2025,
MAGNORA,NO0010187032,MGN,Oslo Børs,NOK,"24,,40","24,,40","23,,75","24,,20",26/06/2025 16:25,CET,95676.0,"2296181,,20","24,,20",26/06/2025,
MATVAREEXPRESSEN,NO0013008664,MVE,Euronext Growth Oslo,NOK,"113,,00","113,,00","113,,00","113,,00",25/06/2025 13:03,CET,300.0,"33900,,00","113,,00",26/06/2025,
MEDISTIM,NO0010159684,MEDI,Oslo Børs,NOK,"203,,00","211,,00","203,,00","211,,00",26/06/2025 16:27,CET,7443.0,"1539951,,00","211,,00",26/06/2025,['Health Care Equipment']
MELHUS SPAREBANK,NO0006001908,MELG,Oslo Børs,NOK,"175,,00","177,,96","174,,00","177,,96",26/06/2025 14:56,CET,3936.0,"688730,,36","177,,96",26/06/2025,['Regional Banks']
MORELD,NO0013325506,MORLD,Oslo Børs,NOK,"14,,60","14,,78","14,,30","14,,50",26/06/2025 16:26,CET,23341.0,"336250,,60","14,,50",26/06/2025,
MORROW BANK,NO0010694029,MOBA,Oslo Børs,NOK,"11,,35","11,,45","11,,25","11,,25",26/06/2025 16:28,CET,162019.0,"1837035,,60","11,,25",26/06/2025,['Consumer Finance']
MOWI,NO0003054108,MOWI,Oslo Børs,NOK,"190,,40","191,,00","189,,20","189,,90",26/06/2025 16:25,CET,625001.0,"118746441,,90","189,,90",26/06/2025,"['Packaged Foods', 'Meats']"
MPC CONTAINER SHIP,NO0010791353,MPCC,Oslo Børs,NOK,"16,,32","16,,32","15,,83","15,,97",26/06/2025 16:29,CET,2270657.0,"36253396,,83","15,,97",26/06/2025,['Marine']
